review_id,product_id,date,rating,sentiment,platform,comment,sentiment_original,is_template,comment_category,brand,type,base_price,launch_date,product_age_days,review_year,review_month,review_day_of_week,price_tier,platform_avg_rating,total_marketing_spend,avg_engagement_rate,num_campaigns,channel_diversity,primary_channel,avg_rating,positive_ratio
R100016,PC001,2021-11-16,4.9,Positive,Shopee,Kemasan baru lebih ramah lingkungan.,Positive,True,eco_friendly,Sunsilk,Shampoo,32000,2020-02-15,640,2021,11,1,medium,3.015873015873016,717751350.0,0.422,1.0,1.0,Instagram,3.018,0.267
R100017,PC010,2024-08-06,4.2,Positive,Official Store,"Harumnya tahan lama, suka banget!",Positive,True,scent_positive,Love Beauty & Planet,Shampoo,42000,2023-03-18,507,2024,8,1,high,3.027048192771084,1049223410.0,0.219,1.0,1.0,Instagram,2.883,0.219
R100019,PC005,2025-05-04,2.0,Negative,Tokopedia,"Kurang cocok di kulit saya, agak kering.",Negative,True,skin_reaction,Dove,Lotion,35000,2021-11-12,1269,2025,5,6,medium,2.9518496058217103,0.0,,0.0,0.0,,2.971,0.263
R100020,PC003,2023-01-11,4.4,Positive,Shopee,Wangi terlalu kuat untuk saya.,Positive,True,scent_complaint,Lifebuoy,Body Wash,28000,2020-03-20,1027,2023,1,2,medium,3.015873015873016,340924224.0,0.091,1.0,1.0,Billboard,2.961,0.24
R100021,PC004,2023-09-16,4.8,Positive,Tokopedia,"Harumnya tahan lama, suka banget!",Positive,True,scent_positive,Lifebuoy,Handwash,25000,2021-05-01,868,2023,9,5,low,2.9518496058217103,2191606037.0,0.24366666666666667,3.0,3.0,TV,2.994,0.257
R100022,PC012,2023-07-12,4.8,Positive,Official Store,Kemasan baru lebih ramah lingkungan.,Positive,True,eco_friendly,Vaseline,Lotion,30000,2021-08-05,706,2023,7,2,medium,3.027048192771084,903018958.0,0.086,1.0,1.0,Instagram,2.963,0.224
R100023,PC002,2023-06-15,1.5,Negative,Shopee,"Harga sesuai, kualitas oke.",Negative,True,value_neutral,Sunsilk,Conditioner,33000,2020-06-10,1100,2023,6,3,medium,3.015873015873016,2323185153.0,0.322,2.0,2.0,YouTube,2.927,0.253
R100024,PC011,2025-09-02,2.5,Negative,Shopee,Memberikan hasil sesuai klaim after 2 weeks.,Negative,True,effectiveness,Ponds,Facial Foam,35000,2022-04-10,1241,2025,9,1,medium,3.015873015873016,1605983573.0,0.327,2.0,2.0,Instagram,2.991,0.229
R100027,PC001,2023-12-13,2.5,Negative,Tokopedia,"Kurang cocok di kulit saya, agak kering.",Negative,True,skin_reaction,Sunsilk,Shampoo,32000,2020-02-15,1397,2023,12,2,medium,2.9518496058217103,717751350.0,0.422,1.0,1.0,Instagram,3.018,0.267
R100028,PC014,2024-11-26,2.1,Negative,Official Store,"Kurang cocok di kulit saya, agak kering.",Negative,True,skin_reaction,Dove,Body Wash,38000,2024-06-01,178,2024,11,1,high,3.027048192771084,0.0,,0.0,0.0,,3.135,0.251
R100029,PC005,2022-02-05,4.7,Positive,Official Store,Kemasan baru lebih ramah lingkungan.,Positive,True,eco_friendly,Dove,Lotion,35000,2021-11-12,85,2022,2,5,medium,3.027048192771084,0.0,,0.0,0.0,,2.971,0.263
R100030,PC009,2024-11-02,2.1,Negative,Tokopedia,Wangi terlalu kuat untuk saya.,Negative,True,scent_complaint,Clear,Shampoo,34000,2020-09-20,1504,2024,11,5,medium,2.9518496058217103,0.0,,0.0,0.0,,3.111,0.3
R100031,PC009,2023-06-04,3.3,Neutral,Instagram,Memberikan hasil sesuai klaim after 2 weeks.,Neutral,True,effectiveness,Clear,Shampoo,34000,2020-09-20,987,2023,6,6,medium,2.959691358024691,0.0,,0.0,0.0,,3.111,0.3
R100032,PC004,2022-03-29,4.1,Positive,Official Store,"Packaging bocor saat diterima, kurang aman.",Positive,True,packaging_issue,Lifebuoy,Handwash,25000,2021-05-01,332,2022,3,1,low,3.027048192771084,2191606037.0,0.24366666666666667,3.0,3.0,TV,2.994,0.257
R100034,PC007,2024-07-17,1.4,Negative,Shopee,"Harumnya tahan lama, suka banget!",Negative,True,scent_positive,Rexona,Deodorant,40000,2022-06-02,776,2024,7,2,high,3.015873015873016,0.0,,0.0,0.0,,2.928,0.242
R100036,PC003,2022-05-06,1.0,Negative,Shopee,"Harga sesuai, kualitas oke.",Negative,True,value_neutral,Lifebuoy,Body Wash,28000,2020-03-20,777,2022,5,4,medium,3.015873015873016,340924224.0,0.091,1.0,1.0,Billboard,2.961,0.24
R100037,PC012,2022-02-19,4.8,Positive,Instagram,Memberikan hasil sesuai klaim after 2 weeks.,Positive,True,effectiveness,Vaseline,Lotion,30000,2021-08-05,198,2022,2,5,medium,2.959691358024691,903018958.0,0.086,1.0,1.0,Instagram,2.963,0.224
R100038,PC004,2023-06-15,3.5,Neutral,Shopee,Wangi terlalu kuat untuk saya.,Neutral,True,scent_complaint,Lifebuoy,Handwash,25000,2021-05-01,775,2023,6,3,low,3.015873015873016,2191606037.0,0.24366666666666667,3.0,3.0,TV,2.994,0.257
R100039,PC003,2023-08-18,3.2,Neutral,Shopee,Kemasan baru lebih ramah lingkungan.,Neutral,True,eco_friendly,Lifebuoy,Body Wash,28000,2020-03-20,1246,2023,8,4,medium,3.015873015873016,340924224.0,0.091,1.0,1.0,Billboard,2.961,0.24
R100040,PC005,2024-10-07,4.2,Positive,Shopee,Wangi terlalu kuat untuk saya.,Positive,True,scent_complaint,Dove,Lotion,35000,2021-11-12,1060,2024,10,0,medium,3.015873015873016,0.0,,0.0,0.0,,2.971,0.263
R100042,PC003,2025-05-06,2.4,Negative,Tokopedia,"Packaging bocor saat diterima, kurang aman.",Negative,True,packaging_issue,Lifebuoy,Body Wash,28000,2020-03-20,1873,2025,5,1,medium,2.9518496058217103,340924224.0,0.091,1.0,1.0,Billboard,2.961,0.24
R100043,PC012,2024-02-22,4.3,Positive,Shopee,Wangi terlalu kuat untuk saya.,Positive,True,scent_complaint,Vaseline,Lotion,30000,2021-08-05,931,2024,2,3,medium,3.015873015873016,903018958.0,0.086,1.0,1.0,Instagram,2.963,0.224
R100045,PC002,2025-05-16,1.6,Negative,Shopee,Wangi terlalu kuat untuk saya.,Negative,True,scent_complaint,Sunsilk,Conditioner,33000,2020-06-10,1801,2025,5,4,medium,3.015873015873016,2323185153.0,0.322,2.0,2.0,YouTube,2.927,0.253
R100047,PC004,2021-06-04,4.6,Positive,Shopee,Kemasan baru lebih ramah lingkungan.,Positive,True,eco_friendly,Lifebuoy,Handwash,25000,2021-05-01,34,2021,6,4,low,3.015873015873016,2191606037.0,0.24366666666666667,3.0,3.0,TV,2.994,0.257
R100048,PC004,2022-04-07,1.3,Negative,Shopee,Kemasan baru lebih ramah lingkungan.,Negative,True,eco_friendly,Lifebuoy,Handwash,25000,2021-05-01,341,2022,4,3,low,3.015873015873016,2191606037.0,0.24366666666666667,3.0,3.0,TV,2.994,0.257
R100049,PC006,2024-03-31,2.0,Negative,Instagram,"Packaging bocor saat diterima, kurang aman.",Negative,True,packaging_issue,Dove,Shampoo,36000,2022-01-25,796,2024,3,6,high,2.959691358024691,0.0,,0.0,0.0,,3.005,0.265
R100051,PC010,2024-06-18,4.1,Positive,Instagram,"Harumnya tahan lama, suka banget!",Positive,True,scent_positive,Love Beauty & Planet,Shampoo,42000,2023-03-18,458,2024,6,1,high,2.959691358024691,1049223410.0,0.219,1.0,1.0,Instagram,2.883,0.219
R100052,PC007,2024-06-29,3.3,Neutral,Tokopedia,"Harumnya tahan lama, suka banget!",Neutral,True,scent_positive,Rexona,Deodorant,40000,2022-06-02,758,2024,6,5,high,2.9518496058217103,0.0,,0.0,0.0,,2.928,0.242
R100053,PC015,2022-11-16,1.3,Negative,Shopee,"Mudah dibeli saat promo, value for money.",Negative,True,value_positive,Lifebuoy,Sanitizer,18000,2020-12-01,715,2022,11,2,low,3.015873015873016,1440970483.0,0.573,2.0,2.0,Influencer,3.017,0.269
R100054,PC005,2025-10-20,1.0,Negative,Official Store,Wangi terlalu kuat untuk saya.,Negative,True,scent_complaint,Dove,Lotion,35000,2021-11-12,1438,2025,10,0,medium,3.027048192771084,0.0,,0.0,0.0,,2.971,0.263
R100057,PC002,2020-12-31,1.9,Negative,Instagram,"Packaging bocor saat diterima, kurang aman.",Negative,True,packaging_issue,Sunsilk,Conditioner,33000,2020-06-10,204,2020,12,3,medium,2.959691358024691,2323185153.0,0.322,2.0,2.0,YouTube,2.927,0.253
R100058,PC001,2023-10-12,3.3,Neutral,Official Store,"Packaging bocor saat diterima, kurang aman.",Neutral,True,packaging_issue,Sunsilk,Shampoo,32000,2020-02-15,1335,2023,10,3,medium,3.027048192771084,717751350.0,0.422,1.0,1.0,Instagram,3.018,0.267
R100059,PC009,2025-07-06,4.8,Positive,Official Store,Memberikan hasil sesuai klaim after 2 weeks.,Positive,True,effectiveness,Clear,Shampoo,34000,2020-09-20,1750,2025,7,6,medium,3.027048192771084,0.0,,0.0,0.0,,3.111,0.3
R100060,PC006,2022-09-29,3.5,Neutral,Official Store,"Kurang cocok di kulit saya, agak kering.",Neutral,True,skin_reaction,Dove,Shampoo,36000,2022-01-25,247,2022,9,3,high,3.027048192771084,0.0,,0.0,0.0,,3.005,0.265
R100061,PC012,2023-11-24,2.6,Neutral,Official Store,"Kurang cocok di kulit saya, agak kering.",Negative,True,skin_reaction,Vaseline,Lotion,30000,2021-08-05,841,2023,11,4,medium,3.027048192771084,903018958.0,0.086,1.0,1.0,Instagram,2.963,0.224
R100064,PC013,2024-02-15,1.7,Negative,Tokopedia,"Harga sesuai, kualitas oke.",Negative,True,value_neutral,Sunsilk,Shampoo,32000,2024-01-15,31,2024,2,3,medium,2.9518496058217103,0.0,,0.0,0.0,,3.03,0.258
R100065,PC013,2025-08-31,2.7,Neutral,Shopee,"Packaging bocor saat diterima, kurang aman.",Negative,True,packaging_issue,Sunsilk,Shampoo,32000,2024-01-15,594,2025,8,6,medium,3.015873015873016,0.0,,0.0,0.0,,3.03,0.258
R100066,PC009,2022-07-09,4.7,Positive,Tokopedia,"Harga sesuai, kualitas oke.",Positive,True,value_neutral,Clear,Shampoo,34000,2020-09-20,657,2022,7,5,medium,2.9518496058217103,0.0,,0.0,0.0,,3.111,0.3
R100069,PC015,2022-05-14,4.3,Positive,Shopee,Wangi terlalu kuat untuk saya.,Positive,True,scent_complaint,Lifebuoy,Sanitizer,18000,2020-12-01,529,2022,5,5,low,3.015873015873016,1440970483.0,0.573,2.0,2.0,Influencer,3.017,0.269
R100070,PC001,2022-10-28,2.7,Neutral,Shopee,Wangi terlalu kuat untuk saya.,Negative,True,scent_complaint,Sunsilk,Shampoo,32000,2020-02-15,986,2022,10,4,medium,3.015873015873016,717751350.0,0.422,1.0,1.0,Instagram,3.018,0.267
R100071,PC007,2025-03-17,4.3,Positive,Instagram,Wangi terlalu kuat untuk saya.,Positive,True,scent_complaint,Rexona,Deodorant,40000,2022-06-02,1019,2025,3,0,high,2.959691358024691,0.0,,0.0,0.0,,2.928,0.242
R100072,PC006,2025-07-01,3.3,Neutral,Shopee,Wangi terlalu kuat untuk saya.,Neutral,True,scent_complaint,Dove,Shampoo,36000,2022-01-25,1253,2025,7,1,high,3.015873015873016,0.0,,0.0,0.0,,3.005,0.265
R100073,PC010,2025-02-12,2.0,Negative,Tokopedia,"Harumnya tahan lama, suka banget!",Negative,True,scent_positive,Love Beauty & Planet,Shampoo,42000,2023-03-18,697,2025,2,2,high,2.9518496058217103,1049223410.0,0.219,1.0,1.0,Instagram,2.883,0.219
R100075,PC001,2024-01-17,3.5,Neutral,Official Store,"Packaging bocor saat diterima, kurang aman.",Neutral,True,packaging_issue,Sunsilk,Shampoo,32000,2020-02-15,1432,2024,1,2,medium,3.027048192771084,717751350.0,0.422,1.0,1.0,Instagram,3.018,0.267
R100077,PC003,2023-02-18,4.4,Positive,Tokopedia,Kemasan baru lebih ramah lingkungan.,Positive,True,eco_friendly,Lifebuoy,Body Wash,28000,2020-03-20,1065,2023,2,5,medium,2.9518496058217103,340924224.0,0.091,1.0,1.0,Billboard,2.961,0.24
R100080,PC002,2024-11-06,4.6,Positive,Official Store,Kemasan baru lebih ramah lingkungan.,Positive,True,eco_friendly,Sunsilk,Conditioner,33000,2020-06-10,1610,2024,11,2,medium,3.027048192771084,2323185153.0,0.322,2.0,2.0,YouTube,2.927,0.253
R100081,PC002,2022-02-10,3.4,Neutral,Tokopedia,"Packaging bocor saat diterima, kurang aman.",Neutral,True,packaging_issue,Sunsilk,Conditioner,33000,2020-06-10,610,2022,2,3,medium,2.9518496058217103,2323185153.0,0.322,2.0,2.0,YouTube,2.927,0.253
R100083,PC001,2024-09-20,2.6,Neutral,Instagram,"Kurang cocok di kulit saya, agak kering.",Negative,True,skin_reaction,Sunsilk,Shampoo,32000,2020-02-15,1679,2024,9,4,medium,2.959691358024691,717751350.0,0.422,1.0,1.0,Instagram,3.018,0.267
R100084,PC003,2024-03-14,4.2,Positive,Tokopedia,Memberikan hasil sesuai klaim after 2 weeks.,Positive,True,effectiveness,Lifebuoy,Body Wash,28000,2020-03-20,1455,2024,3,3,medium,2.9518496058217103,340924224.0,0.091,1.0,1.0,Billboard,2.961,0.24
R100085,PC001,2022-12-18,2.0,Negative,Official Store,Wangi terlalu kuat untuk saya.,Negative,True,scent_complaint,Sunsilk,Shampoo,32000,2020-02-15,1037,2022,12,6,medium,3.027048192771084,717751350.0,0.422,1.0,1.0,Instagram,3.018,0.267
R100086,PC002,2023-09-27,2.4,Negative,Tokopedia,"Harga sesuai, kualitas oke.",Negative,True,value_neutral,Sunsilk,Conditioner,33000,2020-06-10,1204,2023,9,2,medium,2.9518496058217103,2323185153.0,0.322,2.0,2.0,YouTube,2.927,0.253
R100088,PC007,2023-07-10,2.6,Neutral,Official Store,Memberikan hasil sesuai klaim after 2 weeks.,Negative,True,effectiveness,Rexona,Deodorant,40000,2022-06-02,403,2023,7,0,high,3.027048192771084,0.0,,0.0,0.0,,2.928,0.242
R100090,PC003,2023-02-07,4.9,Positive,Shopee,"Kurang cocok di kulit saya, agak kering.",Positive,True,skin_reaction,Lifebuoy,Body Wash,28000,2020-03-20,1054,2023,2,1,medium,3.015873015873016,340924224.0,0.091,1.0,1.0,Billboard,2.961,0.24
R100091,PC003,2020-03-30,1.7,Negative,Official Store,"Kurang cocok di kulit saya, agak kering.",Negative,True,skin_reaction,Lifebuoy,Body Wash,28000,2020-03-20,10,2020,3,0,medium,3.027048192771084,340924224.0,0.091,1.0,1.0,Billboard,2.961,0.24
R100097,PC003,2021-02-09,1.8,Negative,Instagram,Memberikan hasil sesuai klaim after 2 weeks.,Negative,True,effectiveness,Lifebuoy,Body Wash,28000,2020-03-20,326,2021,2,1,medium,2.959691358024691,340924224.0,0.091,1.0,1.0,Billboard,2.961,0.24
R100099,PC002,2024-07-02,1.1,Negative,Official Store,"Harga sesuai, kualitas oke.",Negative,True,value_neutral,Sunsilk,Conditioner,33000,2020-06-10,1483,2024,7,1,medium,3.027048192771084,2323185153.0,0.322,2.0,2.0,YouTube,2.927,0.253
R100100,PC007,2024-02-20,4.4,Positive,Instagram,"Packaging bocor saat diterima, kurang aman.",Positive,True,packaging_issue,Rexona,Deodorant,40000,2022-06-02,628,2024,2,1,high,2.959691358024691,0.0,,0.0,0.0,,2.928,0.242
R100105,PC010,2024-10-02,3.0,Neutral,Instagram,Kemasan baru lebih ramah lingkungan.,Neutral,True,eco_friendly,Love Beauty & Planet,Shampoo,42000,2023-03-18,564,2024,10,2,high,2.959691358024691,1049223410.0,0.219,1.0,1.0,Instagram,2.883,0.219
R100106,PC015,2024-06-09,3.2,Neutral,Official Store,"Harumnya tahan lama, suka banget!",Neutral,True,scent_positive,Lifebuoy,Sanitizer,18000,2020-12-01,1286,2024,6,6,low,3.027048192771084,1440970483.0,0.573,2.0,2.0,Influencer,3.017,0.269
R100108,PC010,2023-08-29,2.0,Negative,Instagram,Wangi terlalu kuat untuk saya.,Negative,True,scent_complaint,Love Beauty & Planet,Shampoo,42000,2023-03-18,164,2023,8,1,high,2.959691358024691,1049223410.0,0.219,1.0,1.0,Instagram,2.883,0.219
R100109,PC006,2023-08-25,1.9,Negative,Tokopedia,Wangi terlalu kuat untuk saya.,Negative,True,scent_complaint,Dove,Shampoo,36000,2022-01-25,577,2023,8,4,high,2.9518496058217103,0.0,,0.0,0.0,,3.005,0.265
R100110,PC006,2022-03-14,3.0,Neutral,Tokopedia,"Harga sesuai, kualitas oke.",Neutral,True,value_neutral,Dove,Shampoo,36000,2022-01-25,48,2022,3,0,high,2.9518496058217103,0.0,,0.0,0.0,,3.005,0.265
R100115,PC006,2024-01-11,4.7,Positive,Instagram,"Harga sesuai, kualitas oke.",Positive,True,value_neutral,Dove,Shampoo,36000,2022-01-25,716,2024,1,3,high,2.959691358024691,0.0,,0.0,0.0,,3.005,0.265
R100118,PC001,2023-03-11,3.8,Neutral,Tokopedia,Memberikan hasil sesuai klaim after 2 weeks.,Neutral,True,effectiveness,Sunsilk,Shampoo,32000,2020-02-15,1120,2023,3,5,medium,2.9518496058217103,717751350.0,0.422,1.0,1.0,Instagram,3.018,0.267
R100119,PC006,2023-07-02,1.6,Negative,Official Store,Wangi terlalu kuat untuk saya.,Negative,True,scent_complaint,Dove,Shampoo,36000,2022-01-25,523,2023,7,6,high,3.027048192771084,0.0,,0.0,0.0,,3.005,0.265
R100120,PC011,2023-07-30,2.5,Negative,Official Store,"Kurang cocok di kulit saya, agak kering.",Negative,True,skin_reaction,Ponds,Facial Foam,35000,2022-04-10,476,2023,7,6,medium,3.027048192771084,1605983573.0,0.327,2.0,2.0,Instagram,2.991,0.229
R100122,PC002,2020-07-12,1.6,Negative,Shopee,"Harumnya tahan lama, suka banget!",Negative,True,scent_positive,Sunsilk,Conditioner,33000,2020-06-10,32,2020,7,6,medium,3.015873015873016,2323185153.0,0.322,2.0,2.0,YouTube,2.927,0.253
R100123,PC009,2023-08-03,2.9,Neutral,Instagram,"Harga sesuai, kualitas oke.",Negative,True,value_neutral,Clear,Shampoo,34000,2020-09-20,1047,2023,8,3,medium,2.959691358024691,0.0,,0.0,0.0,,3.111,0.3
R100125,PC002,2020-09-30,3.9,Neutral,Shopee,"Kurang cocok di kulit saya, agak kering.",Neutral,True,skin_reaction,Sunsilk,Conditioner,33000,2020-06-10,112,2020,9,2,medium,3.015873015873016,2323185153.0,0.322,2.0,2.0,YouTube,2.927,0.253
R100126,PC012,2022-04-14,4.7,Positive,Official Store,"Mudah dibeli saat promo, value for money.",Positive,True,value_positive,Vaseline,Lotion,30000,2021-08-05,252,2022,4,3,medium,3.027048192771084,903018958.0,0.086,1.0,1.0,Instagram,2.963,0.224
R100127,PC012,2025-01-26,1.6,Negative,Shopee,Wangi terlalu kuat untuk saya.,Negative,True,scent_complaint,Vaseline,Lotion,30000,2021-08-05,1270,2025,1,6,medium,3.015873015873016,903018958.0,0.086,1.0,1.0,Instagram,2.963,0.224
R100128,PC014,2024-10-24,4.3,Positive,Shopee,Wangi terlalu kuat untuk saya.,Positive,True,scent_complaint,Dove,Body Wash,38000,2024-06-01,145,2024,10,3,high,3.015873015873016,0.0,,0.0,0.0,,3.135,0.251
R100129,PC003,2024-01-03,3.1,Neutral,Official Store,"Harumnya tahan lama, suka banget!",Neutral,True,scent_positive,Lifebuoy,Body Wash,28000,2020-03-20,1384,2024,1,2,medium,3.027048192771084,340924224.0,0.091,1.0,1.0,Billboard,2.961,0.24
R100132,PC007,2022-08-23,3.3,Neutral,Shopee,"Harumnya tahan lama, suka banget!",Neutral,True,scent_positive,Rexona,Deodorant,40000,2022-06-02,82,2022,8,1,high,3.015873015873016,0.0,,0.0,0.0,,2.928,0.242
R100133,PC015,2022-04-24,3.2,Neutral,Official Store,Memberikan hasil sesuai klaim after 2 weeks.,Neutral,True,effectiveness,Lifebuoy,Sanitizer,18000,2020-12-01,509,2022,4,6,low,3.027048192771084,1440970483.0,0.573,2.0,2.0,Influencer,3.017,0.269
R100134,PC003,2023-04-09,2.7,Neutral,Instagram,"Packaging bocor saat diterima, kurang aman.",Negative,True,packaging_issue,Lifebuoy,Body Wash,28000,2020-03-20,1115,2023,4,6,medium,2.959691358024691,340924224.0,0.091,1.0,1.0,Billboard,2.961,0.24
R100135,PC003,2022-01-06,1.6,Negative,Instagram,"Packaging bocor saat diterima, kurang aman.",Negative,True,packaging_issue,Lifebuoy,Body Wash,28000,2020-03-20,657,2022,1,3,medium,2.959691358024691,340924224.0,0.091,1.0,1.0,Billboard,2.961,0.24
R100139,PC005,2025-04-12,2.4,Negative,Tokopedia,Wangi terlalu kuat untuk saya.,Negative,True,scent_complaint,Dove,Lotion,35000,2021-11-12,1247,2025,4,5,medium,2.9518496058217103,0.0,,0.0,0.0,,2.971,0.263
R100140,PC015,2022-04-13,2.8,Neutral,Official Store,Memberikan hasil sesuai klaim after 2 weeks.,Negative,True,effectiveness,Lifebuoy,Sanitizer,18000,2020-12-01,498,2022,4,2,low,3.027048192771084,1440970483.0,0.573,2.0,2.0,Influencer,3.017,0.269
R100141,PC015,2024-10-20,1.6,Negative,Instagram,Kemasan baru lebih ramah lingkungan.,Negative,True,eco_friendly,Lifebuoy,Sanitizer,18000,2020-12-01,1419,2024,10,6,low,2.959691358024691,1440970483.0,0.573,2.0,2.0,Influencer,3.017,0.269
R100142,PC012,2024-08-25,1.0,Negative,Instagram,"Harga sesuai, kualitas oke.",Negative,True,value_neutral,Vaseline,Lotion,30000,2021-08-05,1116,2024,8,6,medium,2.959691358024691,903018958.0,0.086,1.0,1.0,Instagram,2.963,0.224
R100143,PC004,2023-04-08,2.0,Negative,Shopee,Kemasan baru lebih ramah lingkungan.,Negative,True,eco_friendly,Lifebuoy,Handwash,25000,2021-05-01,707,2023,4,5,low,3.015873015873016,2191606037.0,0.24366666666666667,3.0,3.0,TV,2.994,0.257
R100144,PC011,2025-10-10,2.4,Negative,Tokopedia,Memberikan hasil sesuai klaim after 2 weeks.,Negative,True,effectiveness,Ponds,Facial Foam,35000,2022-04-10,1279,2025,10,4,medium,2.9518496058217103,1605983573.0,0.327,2.0,2.0,Instagram,2.991,0.229
R100145,PC007,2022-10-13,4.8,Positive,Official Store,"Kurang cocok di kulit saya, agak kering.",Positive,True,skin_reaction,Rexona,Deodorant,40000,2022-06-02,133,2022,10,3,high,3.027048192771084,0.0,,0.0,0.0,,2.928,0.242
R100147,PC008,2025-04-02,4.7,Positive,Official Store,Memberikan hasil sesuai klaim after 2 weeks.,Positive,True,effectiveness,Rexona,Deodorant,28000,2023-02-14,778,2025,4,2,medium,3.027048192771084,0.0,,0.0,0.0,,2.928,0.252
R100148,PC004,2024-10-04,1.1,Negative,Instagram,"Kurang cocok di kulit saya, agak kering.",Negative,True,skin_reaction,Lifebuoy,Handwash,25000,2021-05-01,1252,2024,10,4,low,2.959691358024691,2191606037.0,0.24366666666666667,3.0,3.0,TV,2.994,0.257
R100149,PC001,2023-06-21,3.4,Neutral,Tokopedia,"Harga sesuai, kualitas oke.",Neutral,True,value_neutral,Sunsilk,Shampoo,32000,2020-02-15,1222,2023,6,2,medium,2.9518496058217103,717751350.0,0.422,1.0,1.0,Instagram,3.018,0.267
R100151,PC001,2020-09-06,4.9,Positive,Tokopedia,Kemasan baru lebih ramah lingkungan.,Positive,True,eco_friendly,Sunsilk,Shampoo,32000,2020-02-15,204,2020,9,6,medium,2.9518496058217103,717751350.0,0.422,1.0,1.0,Instagram,3.018,0.267
R100152,PC006,2025-01-16,2.3,Negative,Tokopedia,"Packaging bocor saat diterima, kurang aman.",Negative,True,packaging_issue,Dove,Shampoo,36000,2022-01-25,1087,2025,1,3,high,2.9518496058217103,0.0,,0.0,0.0,,3.005,0.265
R100153,PC003,2023-07-24,2.6,Neutral,Shopee,Wangi terlalu kuat untuk saya.,Negative,True,scent_complaint,Lifebuoy,Body Wash,28000,2020-03-20,1221,2023,7,0,medium,3.015873015873016,340924224.0,0.091,1.0,1.0,Billboard,2.961,0.24
R100154,PC009,2021-03-28,4.2,Positive,Tokopedia,"Harumnya tahan lama, suka banget!",Positive,True,scent_positive,Clear,Shampoo,34000,2020-09-20,189,2021,3,6,medium,2.9518496058217103,0.0,,0.0,0.0,,3.111,0.3
R100155,PC003,2022-05-25,3.1,Neutral,Instagram,"Mudah dibeli saat promo, value for money.",Neutral,True,value_positive,Lifebuoy,Body Wash,28000,2020-03-20,796,2022,5,2,medium,2.959691358024691,340924224.0,0.091,1.0,1.0,Billboard,2.961,0.24
R100156,PC002,2022-10-21,2.9,Neutral,Instagram,"Harumnya tahan lama, suka banget!",Negative,True,scent_positive,Sunsilk,Conditioner,33000,2020-06-10,863,2022,10,4,medium,2.959691358024691,2323185153.0,0.322,2.0,2.0,YouTube,2.927,0.253
